Lemma('long.a.01.long'): {'lemma': 'long', 'pos': 'ADJ', 'synset': Synset('long.a.01')}
Lemma('fancy.a.01.fancy'): {'lemma': 'fancy', 'pos': 'ADJ', 'synset': Synset('fancy.a.01')}
Lemma('truly.r.01.really'): {'lemma': 'really', 'pos': 'ADV', 'synset': Synset('truly.r.01')}
Lemma('want.v.02.need'): {'lemma': 'need', 'pos': 'VERB', 'synset': Synset('want.v.02')}
Lemma('use.v.01.use'): {'lemma': 'use', 'pos': 'VERB', 'synset': Synset('use.v.01')}
Lemma('most.r.01.most'): {'lemma': 'most', 'pos': 'ADV', 'synset': Synset('most.r.01')}
Lemma('economic.s.03.economical'): {'lemma': 'economical', 'pos': 'ADJ', 'synset': Synset('economic.s.03')}
Lemma('printing.n.02.printing'): {'lemma': 'printing', 'pos': 'NOUN', 'synset': Synset('printing.n.02')}
Lemma('method.n.01.method'): {'lemma': 'method', 'pos': 'NOUN', 'synset': Synset('method.n.01')}
Lemma('paper.n.01.paper'): {'lemma': 'paper', 'pos': 'NOUN', 'synset': Synset('paper.n.01')}
Lemma('exist.v.01.be'): {'lemma': 'be', 'pos': 'VERB', 'synset': Synset('exist.v.01')}
Lemma('other.a.01.other'): {'lemma': 'other', 'pos': 'ADJ', 'synset': Synset('other.a.01')}
Lemma('cheap.a.01.cheap'): {'lemma': 'cheap', 'pos': 'ADJ', 'synset': Synset('cheap.a.01')}
Lemma('communication.n.01.communication'): {'lemma': 'communication', 'pos': 'NOUN', 'synset': Synset('communication.n.01')}
Lemma('technique.n.01.technique'): {'lemma': 'technique', 'pos': 'NOUN', 'synset': Synset('technique.n.01')}
Lemma('substitute.v.01.substitute'): {'lemma': 'substitute', 'pos': 'VERB', 'synset': Synset('substitute.v.01')}
Lemma('attitude.n.01.attitude'): {'lemma': 'attitude', 'pos': 'NOUN', 'synset': Synset('attitude.n.01')}
Lemma('promote.v.01.encourage'): {'lemma': 'encourage', 'pos': 'VERB', 'synset': Synset('promote.v.01')}
Lemma('excess.n.01.excess'): {'lemma': 'excess', 'pos': 'NOUN', 'synset': Synset('excess.n.01')}
Lemma('complimentary.s.02.free'): {'lemma': 'free', 'pos': 'ADJ', 'synset': Synset('complimentary.s.02')}
Lemma('government.n.01.government'): {'lemma': 'government', 'pos': 'NOUN', 'synset': Synset('government.n.01')}
Lemma('work.n.01.work'): {'lemma': 'work', 'pos': 'NOUN', 'synset': Synset('work.n.01')}
Lemma('plant.n.01.plant'): {'lemma': 'plant', 'pos': 'NOUN', 'synset': Synset('plant.n.01')}
Lemma('purchasing_agent.n.01.purchasing_agent'): {'lemma': 'purchasing_agent', 'pos': 'NOUN', 'synset': Synset('purchasing_agent.n.01')}
Lemma('offer.v.01.offer'): {'lemma': 'offer', 'pos': 'VERB', 'synset': Synset('offer.v.01')}
Lemma('overmuch.r.01.too_much'): {'lemma': 'too_much', 'pos': 'ADV', 'synset': Synset('overmuch.r.01')}
Lemma('free.a.01.free'): {'lemma': 'free', 'pos': 'ADJ', 'synset': Synset('free.a.01')}
Lemma('buying.n.01.buying'): {'lemma': 'buying', 'pos': 'NOUN', 'synset': Synset('buying.n.01')}
Lemma('service.n.04.service'): {'lemma': 'service', 'pos': 'NOUN', 'synset': Synset('service.n.04')}
Lemma('service.n.02.service'): {'lemma': 'service', 'pos': 'NOUN', 'synset': Synset('service.n.02')}
Lemma('improvement.n.02.improvement'): {'lemma': 'improvement', 'pos': 'NOUN', 'synset': Synset('improvement.n.02')}
Lemma('recommend.v.01.recommend'): {'lemma': 'recommend', 'pos': 'VERB', 'synset': Synset('recommend.v.01')}
Lemma('working.s.01.working'): {'lemma': 'working', 'pos': 'ADJ', 'synset': Synset('working.s.01')}
Lemma('condition.n.01.condition'): {'lemma': 'condition', 'pos': 'NOUN', 'synset': Synset('condition.n.01')}
Lemma('lighting.n.02.lighting'): {'lemma': 'lighting', 'pos': 'NOUN', 'synset': Synset('lighting.n.02')}
Lemma('public_toilet.n.01.restroom'): {'lemma': 'restroom', 'pos': 'NOUN', 'synset': Synset('public_toilet.n.01')}
Lemma('eating.n.01.eating'): {'lemma': 'eating', 'pos': 'NOUN', 'synset': Synset('eating.n.01')}
Lemma('facility.n.01.facility'): {'lemma': 'facility', 'pos': 'NOUN', 'synset': Synset('facility.n.01')}
Lemma('try.v.01.try'): {'lemma': 'try', 'pos': 'VERB', 'synset': Synset('try.v.01')}
Lemma('effectiveness.n.01.effectiveness'): {'lemma': 'effectiveness', 'pos': 'NOUN', 'synset': Synset('effectiveness.n.01')}
Lemma('negociate.v.06.negotiate'): {'lemma': 'negotiate', 'pos': 'VERB', 'synset': Synset('negociate.v.06')}
Lemma('union.n.01.union'): {'lemma': 'union', 'pos': 'NOUN', 'synset': Synset('union.n.01')}
Lemma('make.v.02.make'): {'lemma': 'make', 'pos': 'VERB', 'synset': Synset('make.v.02')}
Lemma('certain.s.07.sure'): {'lemma': 'sure', 'pos': 'ADJ', 'synset': Synset('certain.s.07')}
Lemma('have.v.01.have'): {'lemma': 'have', 'pos': 'VERB', 'synset': Synset('have.v.01')}
Lemma('choice.n.02.choice'): {'lemma': 'choice', 'pos': 'NOUN', 'synset': Synset('choice.n.02')}
Lemma('new.a.01.new'): {'lemma': 'new', 'pos': 'ADJ', 'synset': Synset('new.a.01')}
Lemma('cent.n.01.cent'): {'lemma': 'cent', 'pos': 'NOUN', 'synset': Synset('cent.n.01')}
Lemma('hour.n.01.hour'): {'lemma': 'hour', 'pos': 'NOUN', 'synset': Synset('hour.n.01')}
Lemma('cost.n.01.cost'): {'lemma': 'cost', 'pos': 'NOUN', 'synset': Synset('cost.n.01')}
Lemma('wage.n.01.wage'): {'lemma': 'wage', 'pos': 'NOUN', 'synset': Synset('wage.n.01')}
Lemma('consider.v.05.consider'): {'lemma': 'consider', 'pos': 'VERB', 'synset': Synset('consider.v.05')}
Lemma('restrict.v.01.restrict'): {'lemma': 'restrict', 'pos': 'VERB', 'synset': Synset('restrict.v.01')}
Lemma('pay.v.01.pay'): {'lemma': 'pay', 'pos': 'VERB', 'synset': Synset('pay.v.01')}
Lemma('profit_sharing.n.01.profit_sharing'): {'lemma': 'profit_sharing', 'pos': 'NOUN', 'synset': Synset('profit_sharing.n.01')}
Lemma('money.n.01.money'): {'lemma': 'money', 'pos': 'NOUN', 'synset': Synset('money.n.01')}
Lemma('make.v.01.do'): {'lemma': 'do', 'pos': 'VERB', 'synset': Synset('make.v.01')}
Lemma('contract.n.01.contract'): {'lemma': 'contract', 'pos': 'NOUN', 'synset': Synset('contract.n.01')}
Lemma('recently.r.01.recently'): {'lemma': 'recently', 'pos': 'ADV', 'synset': Synset('recently.r.01')}
Lemma('sign.v.02.sign'): {'lemma': 'sign', 'pos': 'VERB', 'synset': Synset('sign.v.02')}
Lemma('group.n.01.group'): {'lemma': 'group', 'pos': 'NOUN', 'synset': Synset('group.n.01')}
Lemma('understand.v.01.understand'): {'lemma': 'understand', 'pos': 'VERB', 'synset': Synset('understand.v.01')}
Lemma('policy.n.03.insurance'): {'lemma': 'insurance', 'pos': 'NOUN', 'synset': Synset('policy.n.03')}
Lemma('entitle.v.01.entitle'): {'lemma': 'entitle', 'pos': 'VERB', 'synset': Synset('entitle.v.01')}
Lemma('capitalize.v.01.take_advantage'): {'lemma': 'take_advantage', 'pos': 'VERB', 'synset': Synset('capitalize.v.01')}
Lemma('entire.s.01.full'): {'lemma': 'full', 'pos': 'ADJ', 'synset': Synset('entire.s.01')}
Lemma('legal.a.01.legal'): {'lemma': 'legal', 'pos': 'ADJ', 'synset': Synset('legal.a.01')}
Lemma('advertise.v.01.publicize'): {'lemma': 'publicize', 'pos': 'VERB', 'synset': Synset('advertise.v.01')}
Lemma('value.n.01.value'): {'lemma': 'value', 'pos': 'NOUN', 'synset': Synset('value.n.01')}
Lemma('company.n.01.company'): {'lemma': 'company', 'pos': 'NOUN', 'synset': Synset('company.n.01')}
Lemma('share.n.01.share'): {'lemma': 'share', 'pos': 'NOUN', 'synset': Synset('share.n.01')}
Lemma('premium.n.01.insurance_premium'): {'lemma': 'insurance_premium', 'pos': 'NOUN', 'synset': Synset('premium.n.01')}
Lemma('last.r.01.last'): {'lemma': 'last', 'pos': 'ADV', 'synset': Synset('last.r.01')}
Lemma('compare.v.01.compare'): {'lemma': 'compare', 'pos': 'VERB', 'synset': Synset('compare.v.01')}
Lemma('present.a.01.present'): {'lemma': 'present', 'pos': 'ADJ', 'synset': Synset('present.a.01')}
Lemma('premium.n.01.premium'): {'lemma': 'premium', 'pos': 'NOUN', 'synset': Synset('premium.n.01')}
Lemma('monetary_value.n.01.cost'): {'lemma': 'cost', 'pos': 'NOUN', 'synset': Synset('monetary_value.n.01')}
Lemma('insurance.n.01.insurance'): {'lemma': 'insurance', 'pos': 'NOUN', 'synset': Synset('insurance.n.01')}
Lemma('source.n.02.source'): {'lemma': 'source', 'pos': 'NOUN', 'synset': Synset('source.n.02')}
Lemma('insurance_company.n.01.insurance_company'): {'lemma': 'insurance_company', 'pos': 'NOUN', 'synset': Synset('insurance_company.n.01')}
Lemma('help.v.01.aid'): {'lemma': 'aid', 'pos': 'VERB', 'synset': Synset('help.v.01')}
Lemma('reduce.v.01.reduce'): {'lemma': 'reduce', 'pos': 'VERB', 'synset': Synset('reduce.v.01')}
Lemma('administrative.a.01.administrative'): {'lemma': 'administrative', 'pos': 'ADJ', 'synset': Synset('administrative.a.01')}
Lemma('conserve.v.02.maintain'): {'lemma': 'maintain', 'pos': 'VERB', 'synset': Synset('conserve.v.02')}
Lemma('principle.n.02.principle'): {'lemma': 'principle', 'pos': 'NOUN', 'synset': Synset('principle.n.02')}
Lemma('contribute.v.02.contribute'): {'lemma': 'contribute', 'pos': 'VERB', 'synset': Synset('contribute.v.02')}
Lemma('oppose.v.03.oppose'): {'lemma': 'oppose', 'pos': 'VERB', 'synset': Synset('oppose.v.03')}
Lemma('in_full.r.01.fully'): {'lemma': 'fully', 'pos': 'ADV', 'synset': Synset('in_full.r.01')}
Lemma('paid.a.01.paid'): {'lemma': 'paid', 'pos': 'ADJ', 'synset': Synset('paid.a.01')}
Lemma('plan.n.01.program'): {'lemma': 'program', 'pos': 'NOUN', 'synset': Synset('plan.n.01')}
Lemma('protect.v.01.protect'): {'lemma': 'protect', 'pos': 'VERB', 'synset': Synset('protect.v.01')}
Lemma('holiday.n.02.holiday'): {'lemma': 'holiday', 'pos': 'NOUN', 'synset': Synset('holiday.n.02')}
Lemma('privilege.n.01.privilege'): {'lemma': 'privilege', 'pos': 'NOUN', 'synset': Synset('privilege.n.01')}
Lemma('attendance.n.01.attendance'): {'lemma': 'attendance', 'pos': 'NOUN', 'synset': Synset('attendance.n.01')}
Lemma('requirement.n.01.requirement'): {'lemma': 'requirement', 'pos': 'NOUN', 'synset': Synset('requirement.n.01')}
Lemma('vacation.n.01.holiday'): {'lemma': 'holiday', 'pos': 'NOUN', 'synset': Synset('vacation.n.01')}
Lemma('plan.v.01.plan'): {'lemma': 'plan', 'pos': 'VERB', 'synset': Synset('plan.v.01')}
Lemma('limit.v.02.limit'): {'lemma': 'limit', 'pos': 'VERB', 'synset': Synset('limit.v.02')}
Lemma('area.n.01.area'): {'lemma': 'area', 'pos': 'NOUN', 'synset': Synset('area.n.01')}
Lemma('practice.n.01.pattern'): {'lemma': 'pattern', 'pos': 'NOUN', 'synset': Synset('practice.n.01')}
Lemma('investigate.v.01.investigate'): {'lemma': 'investigate', 'pos': 'VERB', 'synset': Synset('investigate.v.01')}
Lemma('possibility.n.04.possibility'): {'lemma': 'possibility', 'pos': 'NOUN', 'synset': Synset('possibility.n.04')}
Lemma('move.v.02.move'): {'lemma': 'move', 'pos': 'VERB', 'synset': Synset('move.v.02')}
Lemma('ahead.r.02.forward'): {'lemma': 'forward', 'pos': 'ADV', 'synset': Synset('ahead.r.02')}
Lemma('monday.n.01.Monday'): {'lemma': 'monday', 'pos': 'NOUN', 'synset': Synset('monday.n.01')}
Lemma('back.r.04.back'): {'lemma': 'back', 'pos': 'ADV', 'synset': Synset('back.r.04')}
Lemma('friday.n.01.Friday'): {'lemma': 'friday', 'pos': 'NOUN', 'synset': Synset('friday.n.01')}
Lemma('uninterrupted.s.01.uninterrupted'): {'lemma': 'uninterrupted', 'pos': 'ADJ', 'synset': Synset('uninterrupted.s.01')}
Lemma('workweek.n.01.week'): {'lemma': 'week', 'pos': 'NOUN', 'synset': Synset('workweek.n.01')}
Lemma('carefully.r.01.carefully'): {'lemma': 'carefully', 'pos': 'ADV', 'synset': Synset('carefully.r.01')}
Lemma('patrol.v.01.police'): {'lemma': 'police', 'pos': 'VERB', 'synset': Synset('patrol.v.01')}
Lemma('washup.n.01.washup'): {'lemma': 'washup', 'pos': 'NOUN', 'synset': Synset('washup.n.01')}
Lemma('time.n.01.time'): {'lemma': 'time', 'pos': 'NOUN', 'synset': Synset('time.n.01')}
Lemma('rest.n.02.rest'): {'lemma': 'rest', 'pos': 'NOUN', 'synset': Synset('rest.n.02')}
Lemma('time_period.n.01.period'): {'lemma': 'period', 'pos': 'NOUN', 'synset': Synset('time_period.n.01')}
Lemma('certain.a.02.certain'): {'lemma': 'certain', 'pos': 'ADJ', 'synset': Synset('certain.a.02')}
Lemma('all.a.01.all'): {'lemma': 'all', 'pos': 'ADJ', 'synset': Synset('all.a.01')}
Lemma('productive.a.01.productive'): {'lemma': 'productive', 'pos': 'ADJ', 'synset': Synset('productive.a.01')}
Lemma('watch.v.02.watch'): {'lemma': 'watch', 'pos': 'VERB', 'synset': Synset('watch.v.02')}
Lemma('agenda.n.01.schedule'): {'lemma': 'schedule', 'pos': 'NOUN', 'synset': Synset('agenda.n.01')}
Lemma('boiler.n.01.boiler'): {'lemma': 'boiler', 'pos': 'NOUN', 'synset': Synset('boiler.n.01')}
Lemma('operator.n.02.operator'): {'lemma': 'operator', 'pos': 'NOUN', 'synset': Synset('operator.n.02')}
Lemma('guard.n.01.guard'): {'lemma': 'guard', 'pos': 'NOUN', 'synset': Synset('guard.n.01')}
Lemma('twenty-four.s.01.24'): {'lemma': '24', 'pos': 'ADJ', 'synset': Synset('twenty-four.s.01')}
Lemma('day.n.01.day'): {'lemma': 'day', 'pos': 'NOUN', 'synset': Synset('day.n.01')}
Lemma('seven.s.01.7'): {'lemma': '7', 'pos': 'ADJ', 'synset': Synset('seven.s.01')}
Lemma('week.n.01.week'): {'lemma': 'week', 'pos': 'NOUN', 'synset': Synset('week.n.01')}
Lemma('operation.n.01.operation'): {'lemma': 'operation', 'pos': 'NOUN', 'synset': Synset('operation.n.01')}
Lemma('minimize.v.01.minimize'): {'lemma': 'minimize', 'pos': 'VERB', 'synset': Synset('minimize.v.01')}
Lemma('overtime.n.01.overtime'): {'lemma': 'overtime', 'pos': 'NOUN', 'synset': Synset('overtime.n.01')}
Lemma('careful.a.01.careful'): {'lemma': 'careful', 'pos': 'ADJ', 'synset': Synset('careful.a.01')}
Lemma('number.n.01.number'): {'lemma': 'number', 'pos': 'NOUN', 'synset': Synset('number.n.01')}
Lemma('people.n.01.people'): {'lemma': 'people', 'pos': 'NOUN', 'synset': Synset('people.n.01')}
Lemma('at_a_time.r.01.at_one_time'): {'lemma': 'at_one_time', 'pos': 'ADV', 'synset': Synset('at_a_time.r.01')}
Lemma('so.r.02.so'): {'lemma': 'so', 'pos': 'ADV', 'synset': Synset('so.r.02')}
Lemma('entire.s.01.total'): {'lemma': 'total', 'pos': 'ADJ', 'synset': Synset('entire.s.01')}
Lemma('employment.n.03.employment'): {'lemma': 'employment', 'pos': 'NOUN', 'synset': Synset('employment.n.03')}
Lemma('obligation.n.02.obligation'): {'lemma': 'obligation', 'pos': 'NOUN', 'synset': Synset('obligation.n.02')}
Lemma('minimized.s.01.minimized'): {'lemma': 'minimized', 'pos': 'ADJ', 'synset': Synset('minimized.s.01')}
Lemma('consider.v.03.consider'): {'lemma': 'consider', 'pos': 'VERB', 'synset': Synset('consider.v.03')}
Lemma('vending.n.01.vending'): {'lemma': 'vending', 'pos': 'NOUN', 'synset': Synset('vending.n.01')}
Lemma('equipment.n.01.equipment'): {'lemma': 'equipment', 'pos': 'NOUN', 'synset': Synset('equipment.n.01')}
Lemma('replace.v.01.replace'): {'lemma': 'replace', 'pos': 'VERB', 'synset': Synset('replace.v.01')}
Lemma('cafeteria.n.01.cafeteria'): {'lemma': 'cafeteria', 'pos': 'NOUN', 'synset': Synset('cafeteria.n.01')}
Lemma('be.v.02.be'): {'lemma': 'be', 'pos': 'VERB', 'synset': Synset('be.v.02')}
Lemma('possibility.n.01.possibility'): {'lemma': 'possibility', 'pos': 'NOUN', 'synset': Synset('possibility.n.01')}
Lemma('operate.v.01.operate'): {'lemma': 'operate', 'pos': 'VERB', 'synset': Synset('operate.v.01')}
Lemma('individual.a.01.single'): {'lemma': 'single', 'pos': 'ADJ', 'synset': Synset('individual.a.01')}
Lemma('shift.n.03.shift'): {'lemma': 'shift', 'pos': 'NOUN', 'synset': Synset('shift.n.03')}
Lemma('entirely.r.02.only'): {'lemma': 'only', 'pos': 'ADV', 'synset': Synset('entirely.r.02')}
Lemma('vending_machine.n.01.vending_machine'): {'lemma': 'vending_machine', 'pos': 'NOUN', 'synset': Synset('vending_machine.n.01')}
Lemma('prepackaged.s.01.prepackaged'): {'lemma': 'prepackaged', 'pos': 'ADJ', 'synset': Synset('prepackaged.s.01')}
Lemma('sandwich.n.01.sandwich'): {'lemma': 'sandwich', 'pos': 'NOUN', 'synset': Synset('sandwich.n.01')}
Lemma('operation.n.02.operation'): {'lemma': 'operation', 'pos': 'NOUN', 'synset': Synset('operation.n.02')}
Lemma('check.v.01.check'): {'lemma': 'check', 'pos': 'VERB', 'synset': Synset('check.v.01')}
Lemma('subcontract.v.01.subcontract'): {'lemma': 'subcontract', 'pos': 'VERB', 'synset': Synset('subcontract.v.01')}
Lemma('save.v.02.save'): {'lemma': 'save', 'pos': 'VERB', 'synset': Synset('save.v.02')}
Lemma('assistant.n.01.help'): {'lemma': 'help', 'pos': 'NOUN', 'synset': Synset('assistant.n.01')}
Lemma('work.v.02.work'): {'lemma': 'work', 'pos': 'VERB', 'synset': Synset('work.v.02')}
Lemma('part-time.a.01.part-time'): {'lemma': 'part-time', 'pos': 'ADJ', 'synset': Synset('part-time.a.01')}
Lemma('custodial.s.01.custodial'): {'lemma': 'custodial', 'pos': 'ADJ', 'synset': Synset('custodial.s.01')}
Lemma('job.n.02.job'): {'lemma': 'job', 'pos': 'NOUN', 'synset': Synset('job.n.02')}
Lemma('stagger.v.03.stagger'): {'lemma': 'stagger', 'pos': 'VERB', 'synset': Synset('stagger.v.03')}
Lemma('lunch.n.01.lunch'): {'lemma': 'lunch', 'pos': 'NOUN', 'synset': Synset('lunch.n.01')}
Lemma('relieve.v.01.relieve'): {'lemma': 'relieve', 'pos': 'VERB', 'synset': Synset('relieve.v.01')}
Lemma('capacity.n.03.capacity'): {'lemma': 'capacity', 'pos': 'NOUN', 'synset': Synset('capacity.n.03')}
Lemma('strain.n.01.strain'): {'lemma': 'strain', 'pos': 'NOUN', 'synset': Synset('strain.n.01')}
Lemma('feeding.n.02.feeding'): {'lemma': 'feeding', 'pos': 'NOUN', 'synset': Synset('feeding.n.02')}
Lemma('feasible.s.01.feasible'): {'lemma': 'feasible', 'pos': 'ADJ', 'synset': Synset('feasible.s.01')}
Lemma('menu.n.01.menu'): {'lemma': 'menu', 'pos': 'NOUN', 'synset': Synset('menu.n.01')}
Lemma('gradual.a.01.gradual'): {'lemma': 'gradual', 'pos': 'ADJ', 'synset': Synset('gradual.a.01')}
Lemma('withdrawal.n.02.withdrawal'): {'lemma': 'withdrawal', 'pos': 'NOUN', 'synset': Synset('withdrawal.n.02')}
Lemma('subsidy.n.01.subsidy'): {'lemma': 'subsidy', 'pos': 'NOUN', 'synset': Synset('subsidy.n.01')}
Lemma('eating.n.01.feeding'): {'lemma': 'feeding', 'pos': 'NOUN', 'synset': Synset('eating.n.01')}
Lemma('use.v.01.utilize'): {'lemma': 'utilize', 'pos': 'VERB', 'synset': Synset('use.v.01')}
Lemma('space.n.03.space'): {'lemma': 'space', 'pos': 'NOUN', 'synset': Synset('space.n.03')}
Lemma('meeting.n.01.meeting'): {'lemma': 'meeting', 'pos': 'NOUN', 'synset': Synset('meeting.n.01')}
Lemma('discussion.n.01.discussion'): {'lemma': 'discussion', 'pos': 'NOUN', 'synset': Synset('discussion.n.01')}
Lemma('expense.n.01.expense'): {'lemma': 'expense', 'pos': 'NOUN', 'synset': Synset('expense.n.01')}
Lemma('sphere.n.01.area'): {'lemma': 'area', 'pos': 'NOUN', 'synset': Synset('sphere.n.01')}
Lemma('commensurate.a.01.commensurate'): {'lemma': 'commensurate', 'pos': 'ADJ', 'synset': Synset('commensurate.a.01')}
Lemma('profit.v.01.benefit'): {'lemma': 'benefit', 'pos': 'VERB', 'synset': Synset('profit.v.01')}
Lemma('audit.v.01.audit'): {'lemma': 'audit', 'pos': 'VERB', 'synset': Synset('audit.v.01')}
Lemma('weed_out.v.01.weed_out'): {'lemma': 'weed_out', 'pos': 'VERB', 'synset': Synset('weed_out.v.01')}
Lemma('phase.n.01.phase'): {'lemma': 'phase', 'pos': 'NOUN', 'synset': Synset('phase.n.01')}
Lemma('least.a.01.least'): {'lemma': 'least', 'pos': 'ADJ', 'synset': Synset('least.a.01')}
Lemma('engagement.n.07.participation'): {'lemma': 'participation', 'pos': 'NOUN', 'synset': Synset('engagement.n.07')}
Lemma('recreational_facility.n.01.recreational_facility'): {'lemma': 'recreational_facility', 'pos': 'NOUN', 'synset': Synset('recreational_facility.n.01')}
Lemma('delegate.v.01.delegate'): {'lemma': 'delegate', 'pos': 'VERB', 'synset': Synset('delegate.v.01')}
Lemma('operational.a.01.operational'): {'lemma': 'operational', 'pos': 'ADJ', 'synset': Synset('operational.a.01')}
Lemma('duty.n.01.responsibility'): {'lemma': 'responsibility', 'pos': 'NOUN', 'synset': Synset('duty.n.01')}
Lemma('association.n.01.association'): {'lemma': 'association', 'pos': 'NOUN', 'synset': Synset('association.n.01')}
Lemma('restrict.v.03.restrict'): {'lemma': 'restrict', 'pos': 'VERB', 'synset': Synset('restrict.v.03')}
Lemma('fiscal.a.01.financial'): {'lemma': 'financial', 'pos': 'ADJ', 'synset': Synset('fiscal.a.01')}
Lemma('contribution.n.04.contribution'): {'lemma': 'contribution', 'pos': 'NOUN', 'synset': Synset('contribution.n.04')}
Lemma('garden.n.02.garden'): {'lemma': 'garden', 'pos': 'NOUN', 'synset': Synset('garden.n.02')}
Lemma('club.n.02.club'): {'lemma': 'club', 'pos': 'NOUN', 'synset': Synset('club.n.02')}
Lemma('assume.v.02.take_over'): {'lemma': 'take_over', 'pos': 'VERB', 'synset': Synset('assume.v.02')}
Lemma('partial.s.01.partial'): {'lemma': 'partial', 'pos': 'ADJ', 'synset': Synset('partial.s.01')}
Lemma('care.n.06.care'): {'lemma': 'care', 'pos': 'NOUN', 'synset': Synset('care.n.06')}
Lemma('yard.n.02.grounds'): {'lemma': 'grounds', 'pos': 'NOUN', 'synset': Synset('yard.n.02')}
Lemma('camera.n.01.camera'): {'lemma': 'camera', 'pos': 'NOUN', 'synset': Synset('camera.n.01')}
Lemma('useful.a.01.useful'): {'lemma': 'useful', 'pos': 'ADJ', 'synset': Synset('useful.a.01')}
Lemma('film.v.01.take'): {'lemma': 'take', 'pos': 'VERB', 'synset': Synset('film.v.01')}
Lemma('picture.n.01.picture'): {'lemma': 'picture', 'pos': 'NOUN', 'synset': Synset('picture.n.01')}
